imdbID,Title,Year,Genre,Director,Writer,Plot,Actors,Language,Country,Awards,IMDB rating,No_of_Rating
99,Agni Devi,2019,"Crime, Drama",Jpr,Jpr,A cop is after a powerful politician after gathering ample evidences against the latter for murdering a journalist.,"Sathish Krishnan, Bobby Simha",N/A,N/A,N/A,5.2,65
100,Airaa,2019,"Drama, Horror",Sarjun,Priyanka Ravindran,"A young woman, who goes to her grandmother's home in Pollachi, realises the presence of something supernatural in the place. Meanwhile, mysterious murders are happening in Chennai. How are these seemingly unrelated events connected?","Nayanthara, Kalaiyarasan, Yogi Babu, Maathevan",Tamil,India,N/A,4.6,493
101,Super Deluxe,2019,"Action, Crime, Drama, Thriller",Thiagarajan Kumararaja,"Thiagarajan Kumararaja, Nalan Kumarasamy (additional screenplay), Myshkin (additional screenplay), Sekar Neelan (additional screenplay)","An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day.","Vijay Sethupathi, Fahadh Faasil, Samantha Ruth Prabhu, Ramya Krishnan",Tamil,India,5 wins & 1 nomination.,8.4,"5,542"
102,Natpe Thunai,2019,"Comedy, Drama, Sport",Parthiban Desingu,"Devesh Jeyachandran, Sreekanth",An international hockey player who has chosen to leave the sport picks it up again to save the ground of a local team.,"Hiphop Tamizha Adhi, Anagha, Karu Palaniappan, Kousalya",Tamil,India,N/A,6.5,572
103,Ganesha Meendum Santhipom,2019,Drama,Ratheesh Erate,N/A,"The story revolves around a con artist named Solomon (Prithvi Rajan) who plays around with Keerthi (Oviya). She approaches Solomon, who pretends to be a local thug in Chennai, for avoiding her stalker.","Devika Nambiar, Oviya, Prithvi Rajan, Singampuli",Tamil,India,N/A,2.3,6
104,Kuppathu Raja,2019,"Comedy, Drama",Baba Bhaskar,Baba Bhaskar,"Set against the backdrop of a slum in Chennai, the movie is about the relationships between a few slum dwellers and how some anti-social elements create unrest in their lives.","G.V. Prakash Kumar, Parthiban, Palak Lalwani, Poonam Bajwa",Tamil,India,N/A,5.7,92
105,Uriyadi 2,2019,"Action, Thriller",Vijay Kumar,Vijay Kumar,"A man leads an agitation against corrupt politicians and an unethical businessman whose factory has released toxic gas into the air, resulting in a tragedy.","Vijay Kumar, Vismaya, Sudhakar, Shankar Thas",Tamil,India,N/A,7.3,512
106,Gangs Of Madras,2019,Action,C.V. Kumar,N/A,A woman who loses her husband in a police encounter plots to take revenge on the gangsters who had framed him.,"Daniel Balaji, Ashok Kumar Balakrishan, Kalaiarasan Harikrishnan, Harish",Tamil,India,N/A,6.1,93
107,Watchman,2019,Thriller,"Doug Coleman, A.L. Vijay",A.L. Vijay,"A day before his engagement, a man is threatened by a local goon over a debt which he owes him.","G.V. Prakash Kumar, Samyuktha Hegde, Suman, Raj Arjun",Tamil,India,N/A,5.2,215
108,Zhagaram,2019,"Adventure, Thriller",Krish,"Kava Kamz, Krish",A youngster sets out in search of a treasure based on the clues left behind by his grandfather.,"Eden Kuriakosse, Nandha",Tamil,India,N/A,6.4,96
109,Kanchana 3,2019,"Action, Comedy, Horror",Lawrence Raghavendra,Lawrence Raghavendra,A young man who gets easily scared is possessed by a ghost that is seeking revenge.,"Lawrence Raghavendra, Oviya, Vedika, Nikki Tamboli","Tamil, Telugu, Kannada",India,N/A,4.2,980
110,Mehandi Circus,2019,Drama,Raju Saravanan,Raju Murugan,A music shop owner falls in love with a girl from a circus troupe that has come to his village. But caste and class stand in the way.,"Shweta Tripathi, Ankur Vikal",Tamil,India,N/A,7.5,291
111,Vellai Pookal,2019,N/A,Vivek Elangovan,"Shanmuga Bharathi, Vivek Elangovan","A retired cop from India while on a trip to USA solves a series of clueless crimes in his neighborhood, relying only on his power of reasoning.","Larnell Baxter, Leah Carrell, Leah Marie Carrell, Gabrielle Castronover","English, Tamil",USA,N/A,8.6,32
112,Devarattam,2019,"Action, Drama",M. Muthaiah,M. Muthaiah,A lawyer ends up killing the son of a gangster and the latter swears revenge.,"Gautham Karthik, Manjima Mohan, Soori, Fefsi Vijayan",Tamil,India,N/A,4,133
113,K-13,2019,"Action, Drama, Mystery, Thriller",Barath Neelakantan,Barath Neelakantan,An inebriated filmmaker finds himself in a shocking situation when he realises that the mysterious girl who accompanied him to her room has been killed.,"Arulnithi, Shraddha Srinath, Adhik Ravichandran, Vijay Kumar Rajendran",Tamil,India,N/A,6,294
114,Thanimai,2019,Drama,S. Sivaraman,N/A,"""The film traces the lonely journey of a Sri Lankan refugee who comes back from Malaysia to find her long-lost child. It will be an emotional drama that showcases the nature of men from various walks of life"".","Sonia Agarwal, 'Ganja' Karuppu",Tamil,India,N/A,4.8,12
115,Kee,2019,"Action, Thriller",Kalees,Kalees,"A man falls in love with a girl and tries to impress her. However, their life takes a serious turn when they fall victim to cyber-bullying.","Jiiva, Nikki Galrani, Anaika Soti, Govind Padmasoorya",Tamil,India,N/A,5.1,450
116,100,2019,Action,Sam Anton,Sam Anton,"A young cop, who works in a police control room, tries to solve the mysterious case of a kidnapped girl.","Atharvaa Murali, Radha Ravi, Yogi Babu, Hansika Motwani",Tamil,India,N/A,6.6,553
117,Ayogya,2019,"Action, Drama",Venkat Mohan,"Venkat Mohan, Vakkantham Vamsi (story)",A corrupt police officer finds his life changing when he takes on a case of gang rape.,"Vishal, Parthiban, K.S. Ravikumar, Raashi Khanna",Telugu,India,N/A,6.1,696
118,Mr. Local,2019,"Action, Comedy, Drama, Romance",M. Rajesh,M. Rajesh,A happy-go-lucky guy lands in trouble after he locks horns with an egoistic lady. Both of them try to outsmart each other during various situations.,"Sivakarthikeyan, Nayanthara, Radhika Sarathkumar, Sathish",Tamil,India,N/A,3.1,709
119,Lisaa,2019,Horror,Raju Viswanath,Raju Viswanath,A young woman goes to meet her estranged grandparents and ends up facing life-threatening situations.,"Anjali, Sam Jones, Makrand Deshpande, Yogi Babu",Tamil,India,N/A,3.5,17
120,Perazhagi ISO,2019,"Comedy, Drama, Sci-Fi",C. Vijayan,N/A,Perazhagi ISO revolves around a 60-year-old granny who turns into a 20 years young beautiful girl after she accidentally falls into the hands of a business organization researching on the process of age reversing.,"Livingston, Shilpa Manjunath, Vivek Raj, Sachu",Tamil,India,N/A,4.3,17
121,NGK,2019,"Action, Drama",K. Selvaraghavan,K. Selvaraghavan,"An educated do-gooder is forced to enter politics in order to serve the society. But, will the old guard make way and allow him to do that?","Suriya, Sai Pallavi, Rakul Preet Singh, Ponvannan","Tamil, Telugu",India,N/A,6,"2,952"
122,Kolaigaran,2019,"Action, Crime, Drama, Thriller",Andrew Louis,N/A,"A man on a murder spree meets his match in a brilliant police officer, and a cat-and-mouse game ensues. But is there a method to the killer's madness.","Vijay Antony, Ashima Narwal, Arjun Sarja",Tamil,India,N/A,8.6,73
123,Game Over,2019,"Drama, Thriller",Ashwin Saravanan,"Ramkumar Kaavya, Suman Kumar (content head), Shruti Madan (hindi dialogue), Ashwin Saravanan, Kacharla Venkat (Telugu dialogue)",A nyctophobic woman has to fight her inner demons to stay alive in the game called life.,"Taapsee Pannu, Anish Kuruvilla, Maala Parvathi, Vinodhini Vaidynathan","Tamil, Telugu","India, Turkey",2 wins.,7.1,"4,736"
124,Nenjamundu Nermaiyundu Odu Raja,2019,"Comedy, Drama",Karthik Venugopalan,Hp Venugopalan,Two ambitious youngsters who make a living through a YouTube channel agree to perform a few tasks for a businessman when the latter offers them huge money.,"Rio Raj, Shirin Kanchwala, R.J. Vignesh, Nanjil Sampath",Tamil,India,N/A,6.3,198
125,Thumbaa,2019,Adventure,Harish Ram L.H.,Harish Ram L.H.,Two painters and a photographer try to stop a forest officer from poaching a tiger.,"Kpy Bala, Darshan, Dheena, Keerthi Pandian",Tamil,India,N/A,6,27
126,Sindhubaadh,2019,"Action, Thriller",S.U. Arun Kumar,N/A,It's a story of a common man Thiru who ventures out from his comfort zone looking to make money and becomes Sindhubaadh.,"Vijay Sethupathi, Anjali, Linga, Vivek Prasanna",Tamil,India,N/A,5.7,136
127,Jiivi,2019,"Drama, Thriller",V.J. Gopinath,Babu Tamizh,"After jinxed romantic affair, a brilliant man with his friend plans to steal from his landlady. After pulling the theft successfully , he is shocked by strange coincidences of happenings in his family and the landlady.","Vetri, Karunakaran, Rohini, Rama",Tamil,India,N/A,7.9,665
